Micro-benchmark Category,headergen_s,headergen_c,jedi_s,jedi_c,pyright_s,pyright_c,hityperdl_s,hityperdl_c,hityper_s,hityper_c,scalpel_s,scalpel_c,type4py_s,type4py_c
args,6/8,7/8,1/8,0/8,1/8,4/8,1/8,1/8,0/8,8/8,0/8,2/8,1/8,0/8
assignments,2/8,3/8,0/8,1/8,1/8,4/8,0/8,1/8,0/8,6/8,0/8,7/8,0/8,0/8
builtins,0/7,4/7,0/7,2/7,0/7,5/7,0/7,2/7,0/7,7/7,0/7,4/7,0/7,0/7
classes,21/26,4/26,3/26,3/26,0/26,12/26,5/26,8/26,0/26,21/26,0/26,4/26,0/26,2/26
decorators,0/8,0/8,0/8,0/8,0/8,2/8,0/8,0/8,0/8,3/8,0/8,0/8,0/8,0/8
dicts,3/15,7/15,0/15,8/15,0/15,9/15,0/15,3/15,0/15,14/15,0/15,13/15,0/15,3/15
direct_calls,5/6,5/6,1/6,0/6,1/6,3/6,1/6,1/6,0/6,6/6,0/6,2/6,1/6,1/6
dynamic,0/3,1/3,0/3,3/3,0/3,1/3,1/3,2/3,0/3,3/3,0/3,3/3,0/3,1/3
exceptions,2/2,0/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,0/2,2/2,0/2,0/2
external,0/7,0/7,2/7,0/7,0/7,7/7,0/7,0/7,0/7,5/7,0/7,6/7,0/7,0/7
functions,6/9,6/9,1/9,1/9,2/9,6/9,1/9,1/9,0/9,9/9,0/9,5/9,0/9,0/9
generators,0/6,0/6,1/6,1/6,1/6,1/6,0/6,0/6,0/6,5/6,0/6,2/6,0/6,1/6
imports,7/14,11/14,10/14,6/14,12/14,14/14,4/14,4/14,0/14,14/14,0/14,14/14,3/14,3/14
kwargs,3/4,3/4,0/4,0/4,0/4,3/4,0/4,0/4,0/4,4/4,0/4,0/4,0/4,0/4
lambdas,0/6,0/6,0/6,0/6,0/6,5/6,0/6,0/6,0/6,6/6,0/6,3/6,0/6,0/6
lists,4/10,8/10,4/10,3/10,2/10,9/10,2/10,4/10,2/10,9/10,0/10,7/10,0/10,0/10
mro,5/7,0/7,0/7,0/7,0/7,4/7,2/7,4/7,0/7,7/7,0/7,2/7,0/7,0/7
returns,4/8,4/8,0/8,1/8,0/8,1/8,0/8,0/8,0/8,7/8,0/8,6/8,0/8,0/8
total,68/154,63/154,24/154,30/154,21/154,91/154,18/154,32/154,3/154,135/154,0/154,82/154,5/154,11/154
